id,time,mag,magType,cdi,place,status,latitude,longitude,depth,date,lat/lon,nearby_wells,num_wells,year_month,year_month_day,nearby_eqs,eq_class
us2000dwui,1523269340300,4.6,mww,6.4,"8 km NNE of Marshall, Oklahoma",reviewed,36.2185,-97.5735,4.935,2018-04-09 10:22:20.300,"36.2185,-97.5735","[3504724485, 3504724404, 3504724338, 3508322776, 3510322731, 3504724549, 3504724553, 3504724590, 3508323978, 3508323988, 3508324008, 3508324009, 3508323968, 3507324764, 3510324315, 3504724620, 3504724621, 3504724622, 3504724652, 3504724668, 3504724579, 3508324049, 3508324062, 3508324166, 3508324122, 3504724848, 3504724833, 3504724818, 3504724761, 3504724729, 3508324300, 3508324185, 3510324615]",33,2018-04,2018-04-09,30,parent
us200030gd,1438020735400,4.5,mwr,6.2,"4 km NNE of Crescent, Oklahoma",reviewed,35.9889,-97.5717,5.0,2015-07-27 18:12:15.400,"35.9889,-97.5717","[3504724485, 3508323910, 3508323943, 3508323957, 3508323978, 3508323988, 3508323996, 3508324008, 3508324009, 3508324011, 3508323421, 3507324764, 3507324811, 3508324026, 3508323999, 3508323995, 3508324030, 3508324049, 3508324062, 3508324166, 3508324122, 3508324095, 3508324069, 3507324980, 3507324957, 3507324938, 3508324300, 3508324290, 3508324270, 3508324185, 3508324172, 3508324160, 3507324984]",33,2015-07,2015-07-27,17,parent
usb000ldeh,1386439824590,4.5,mwr,5.6,"8 km SW of Arcadia, Oklahoma",reviewed,35.6073,-97.3863,8.44,2013-12-07 18:10:24.590,"35.6073,-97.3863","[3510920077, 3510900109, 3510920163, 3510921577, 3510921994, 3510920193, 3510935998, 3510937682, 3510937654, 3510922351, 3510922387, 3510935841, 3508324032, 3510935632, 3510922126]",15,2013-12,2013-12-07,21,parent
us10003mnu,1444468843000,4.4,mwr,5.6,"12 km ENE of Nash, Oklahoma",reviewed,36.7187,-97.9311,5.629,2015-10-10 09:20:43.000,"36.7187,-97.9311","[3505322795, 3505322791, 3505322796, 3505322591, 3505322487, 3505322901, 3505322844, 3505322836, 3505322824, 3505322820, 3505322073, 3505321839, 3505322928, 3505322933, 3505322940, 3505322947, 3505322959, 3505322963, 3505322987, 3505322992, 3505322996, 3505322923, 3505323011, 3505323049, 3505323062, 3505323068, 3505323082, 3505323115, 3505323030, 3505322892, 3505323253, 3505323252, 3505323245, 3505323241, 3504724876, 3504724849, 3504724809, 3504724797, 3504724712, 3505323402, 3504724926]",41,2015-10,2015-10-10,7,parent
us10006249,1468029867400,4.4,mwr,4.8,"17 km SE of Waynoka, Oklahoma",reviewed,36.4638,-98.7584,7.242000000000001,2016-07-09 02:04:27.400,"36.4638,-98.7584","[3509323212, 3515123752]",2,2016-07,2016-07-09,77,parent
usb000s45z,1408452095700,4.4,mwr,6.7,"12 km SSW of Guthrie, Oklahoma",reviewed,35.7727,-97.4677,4.51,2014-08-19 12:41:35.700,"35.7727,-97.4677","[3508323772, 3508323943, 3510900109, 3510920163, 3510921994, 3508323421, 3510922387, 3508324026, 3508323995, 3508324032, 3508324112, 3508324290, 3508324160, 3510922126]",14,2014-08,2014-08-19,33,parent
us10004c1m,1452155831100,4.4,mwr,4.1,"17 km SE of Waynoka, Oklahoma",reviewed,36.4754,-98.7342,6.647,2016-01-07 08:37:11.100,"36.4754,-98.7342","[3509323212, 3515121599, 3515123752]",3,2016-01,2016-01-07,22,parent
usb000g7s8,1366095389700,4.4,mwr,5.0,Oklahoma,reviewed,35.686,-97.089,6.2,2013-04-16 06:56:29.700,"35.686,-97.089","[3508102053, 3508101877, 3508123965, 3508123947, 3508123923, 3508123909, 3508123907, 3508124016, 3508123857, 3508123845, 3508123837, 3508123832, 3508123879, 3508123785, 3508124052, 3508123734, 3508123361, 3508123344, 3508123291, 3508123432, 3508123142, 3508123103, 3508123019, 3508123433, 3508123459, 3508123495, 3508123707, 3508123680, 3508123640, 3508123631, 3508323652, 3508323634, 3508323592, 3508323524, 3508323458, 3508323545, 3510920163, 3510921577, 3510922171, 3510922351, 3508124112, 3508124145]",42,2013-04,2013-04-16,10,parent
us10004bz1,1452140847900,4.4,mwr,5.2,"16 km SE of Waynoka, Oklahoma",reviewed,36.486,-98.7412,7.093,2016-01-07 04:27:27.900,"36.486,-98.7412","[3509323212, 3515121599, 3515123752, 3515123770, 3515124293]",5,2016-01,2016-01-07,1,shock
us20002yq7,1437423543400,4.4,mwr,5.7,"7 km SSE of Byron, Oklahoma",reviewed,36.842,-98.2593,4.079,2015-07-20 20:19:03.400,"36.842,-98.2593","[3505322824, 3500322144, 3500322132, 3500322131, 3500322117, 3500322108, 3500322046, 3500322133, 3500322028, 3500322026, 3500321748, 3500322024, 3500322023, 3500322020, 3500322019, 3500322012, 3500322006, 3500322002, 3500321995, 3500321994, 3500321983, 3500321976, 3500321916, 3500321897, 3505322923, 3505323049, 3500322186, 3500322183, 3500322177, 3500322165, 3500322163, 3500322158, 3500322193, 3500322212, 3500322228, 3500322229, 3500322418, 3500322390, 3500322386, 3500322355, 3500322345, 3500322318, 3500322317, 3500322316, 3500322308, 3500322286, 3500322247, 3500322157, 3500322246, 3500322521, 3500322504, 3500322426, 3500322409, 3500322370, 3500322524, 3500322540, 3500322551, 3500322737, 3500322651, 3500322623, 3500322600, 3500322560, 3500323099, 3500323033, 3500322973, 3500322908, 3500322903, 3500322806, 3500322761, 3500322710]",70,2015-07,2015-07-20,21,parent
us1000em4c,1528552781400,4.4,mwr,6.4,"8 km E of Nescatunga, Oklahoma",reviewed,36.764,-98.062,9.5,2018-06-09 13:59:41.400,"36.764,-98.06200000000001","[3505322791, 3505322796, 3505322591, 3505322487, 3505322901, 3505322836, 3505322824, 3505322073, 3505321839, 3500322131, 3500322002, 3500321995, 3500321897, 3500321840, 3505322928, 3505322940, 3505322959, 3505322963, 3505322987, 3505322923, 3505323049, 3505322892, 3500322183, 3500322158, 3500322212, 3500322228, 3500322355, 3500322426, 3500322409, 3500322370, 3500322722, 3500322560, 3505323402]",33,2018-06,2018-06-09,5,shock
usd000a245,1558125195683,4.4,mwr,5.9,"8 km E of Pond Creek, Oklahoma",reviewed,36.6697,-97.7055,5.0,2019-05-17 20:33:15.683,"36.6697,-97.7055","[3504724516, 3504724444, 3505322795, 3505322783, 3505322771, 3505322844, 3505322820, 3505300208, 3504724534, 3504724547, 3505322933, 3505322947, 3505322959, 3505322992, 3505322996, 3505323011, 3505323061, 3505323062, 3505323068, 3505323082, 3505323084, 3505323030, 3505322904, 3504724625, 3505323102, 3505323177, 3505323252, 3505323245, 3505323241, 3505322665, 3504724849, 3504724774, 3505323327, 3505323322, 3504724926, 3504724879]",36,2019-05,2019-05-17,2,parent
us100040je,1448313466500,4.4,mwr,4.3,"7 km SSE of Byron, Oklahoma",reviewed,36.8382,-98.2762,5.0280000000000005,2015-11-23 21:17:46.500,"36.8382,-98.2762","[3505322824, 3500322144, 3500322132, 3500322131, 3500322117, 3500322108, 3500322046, 3500322028, 3500322026, 3500321748, 3500322024, 3500322023, 3500322020, 3500322019, 3500322012, 3500322006, 3500322002, 3500321995, 3500321983, 3500321976, 3500321916, 3500321897, 3505323049, 3500322186, 3500322183, 3500322177, 3500322165, 3500322163, 3500322158, 3500322193, 3500322212, 3500322228, 3500322229, 3500322418, 3500322390, 3500322386, 3500322355, 3500322349, 3500322345, 3500322318, 3500322317, 3500322316, 3500322308, 3500322286, 3500322247, 3500322157, 3500322246, 3500322521, 3500322504, 3500322426, 3500322409, 3500322370, 3500322524, 3500322540, 3500322551, 3500322737, 3500322651, 3500322623, 3500322600, 3500322560, 3500323099, 3500323033, 3500322973, 3500322908, 3500322903, 3500322806, 3500322761, 3500322710]",68,2015-11,2015-11-23,7,shock
usp000hn24,1286978790000,4.4,mwc,5.4,"8 km NE of Noble, Oklahoma",reviewed,35.192,-97.32,13.0,2010-10-13 14:06:30.000,"35.192,-97.32",[3512523711],1,2010-10,2010-10-13,0,parent
us100073m6,1478060814000,4.4,mwr,6.9,"7 km N of Maramec, Oklahoma",reviewed,36.3047,-96.6657,4.349,2016-11-02 04:26:54.000,"36.3047,-96.6657","[3511704379, 3511720132, 3511923384, 3511923771, 3511720447, 3511720441, 3511723400, 3511722733, 3511722662, 3511722656, 3511722565, 3511722558, 3511723371, 3511723351, 3511723470, 3511723449, 3511924063, 3511723467, 3511723481, 3511723526, 3511723446, 3511723581, 3511723508, 3511723624]",24,2016-11,2016-11-02,15,parent
us10004a85,1451389159200,4.3,mwr,5.2,"6 km ENE of Edmond, Oklahoma",reviewed,35.6654,-97.4054,6.532,2015-12-29 11:39:19.200,"35.6654,-97.4054","[3510900109, 3510920163, 3510921577, 3510921994, 3510920193, 3510935998, 3510922351, 3510922387, 3508324032, 3508324112, 3510922126]",11,2015-12,2015-12-29,66,parent
us10003mqq,1444514585300,4.3,mwr,6.4,"3 km W of Cushing, Oklahoma",reviewed,35.986,-96.8032,3.274,2015-10-10 22:03:05.300,"35.986,-96.8032","[3503728644, 3503728759, 3503728748, 3503736202, 3503735796, 3503720806, 3503720971, 3503716484, 3503716453, 3503716435, 3503716141, 3503723638, 3503723616, 3503723596, 3503721033, 3503722031, 3511921412, 3511922920, 3511922725, 3511921090, 3511920916, 3511923866, 3511923856, 3511923843, 3511923793, 3511923779, 3503701808, 3511923940, 3511923946, 3511930407, 3511923926, 3511923925, 3511923911, 3511923896, 3511923898, 3508124103, 3508101441, 3503729102, 3503729101, 3508124132, 3508124127, 3511923997, 3511924020, 3503729215, 3503729186, 3503729174, 3508124148, 3511924308, 3511924301, 3511924269, 3511924265, 3511924256, 3511924210, 3511924193, 3511924183, 3511924095, 3511924071, 3511924056, 3511924029]",59,2015-10,2015-10-10,1,shock
us2000ahub,1504837583700,4.3,mwr,5.8,"9 km ESE of Jefferson, Oklahoma",reviewed,36.6996,-97.683,6.073,2017-09-08 02:26:23.700,"36.6996,-97.68299999999999","[3504724516, 3504724444, 3505322795, 3505322783, 3505322771, 3505322687, 3505322799, 3505322844, 3505322820, 3505300208, 3505322933, 3505322947, 3505322959, 3505322992, 3505322996, 3505323011, 3505323061, 3505323062, 3505323068, 3505323082, 3505323084, 3505323115, 3505323030, 3505322904, 3504724625, 3505323102, 3505323177, 3505323252, 3505323245, 3505323241, 3505322665, 3505323327, 3505323322, 3504724879]",34,2017-09,2017-09-08,23,parent
usc000rg12,1402915655600,4.3,mwr,5.2,"7 km NNE of Lake Aluma, Oklahoma",reviewed,35.5935,-97.3969,5.0,2014-06-16 10:47:35.600,"35.5935,-97.3969","[3510920077, 3510900109, 3510920163, 3510921994, 3510920193, 3510935453, 3510922259, 3510935998, 3510937682, 3510937654, 3510922351, 3510922387, 3510935841, 3510935632, 3510922126, 3510935546]",16,2014-06,2014-06-16,14,shock
us10003yhc,1447580731300,4.3,mwr,4.9,"16 km SE of Waynoka, Oklahoma",reviewed,36.4696,-98.7549,5.109,2015-11-15 09:45:31.300,"36.4696,-98.7549","[3509323212, 3515123752]",2,2015-11,2015-11-15,0,shock
us10002jrl,1434568628700,4.3,mwr,5.7,"6 km ESE of Covington, Oklahoma",reviewed,36.285,-97.523,6.007999999999999,2015-06-17 19:17:08.700,"36.285,-97.523","[3504724485, 3504724404, 3504724338, 3504724219, 3508322776, 3510322731, 3504724507, 3504724590, 3508324008, 3508324009, 3510324315, 3504724611, 3504724620, 3504724621, 3504724622, 3504724652, 3504724668, 3504724582, 3504724579, 3508324166, 3510324542, 3504724848, 3504724818, 3504724761, 3504724729, 3508324300, 3508324185, 3510324615]",28,2015-06,2015-06-17,1,shock
usb000ry6y,1406601996000,4.3,mwr,5.8,"9 km E of Nescatunga, Oklahoma",reviewed,36.7561,-98.0453,5.287000000000001,2014-07-29 02:46:36.000,"36.7561,-98.0453","[3505322795, 3505322791, 3505322796, 3505322591, 3505322487, 3505322901, 3505322836, 3505322824, 3505322073, 3505321839, 3500321897, 3500321848, 3500321840, 3505322928, 3505322940, 3505322947, 3505322959, 3505322963, 3505322987, 3505322996, 3505322923, 3505323049, 3505322892, 3500322183, 3500322158, 3500322228, 3500322355, 3500322426, 3500322409, 3500322370, 3500322722, 3500322560, 3505323402]",33,2014-07,2014-07-29,0,shock
usb000skq4,1412949081000,4.2,mwr,5.9,"4 km S of Cushing, Oklahoma",reviewed,35.9466,-96.7594,5.0,2014-10-10 13:51:21.000,"35.9466,-96.7594","[3503728644, 3503728759, 3503728748, 3503728150, 3503736202, 3503735796, 3503730210, 3503720806, 3503720804, 3503720971, 3503720565, 3503716484, 3503716453, 3503716435, 3503716141, 3503723638, 3503723616, 3503723596, 3503721143, 3503721033, 3503722414, 3503727834, 3503722031, 3508123345, 3503701293, 3511921412, 3511922725, 3511921090, 3511920916, 3511923856, 3511923843, 3511923793, 3503701808, 3511923946, 3511930407, 3511923926, 3511923925, 3511923911, 3511923898, 3508124103, 3508101441, 3503720634, 3503729123, 3503729102, 3503729101, 3508124132, 3508124127, 3511923997, 3503729215, 3503729213, 3503729201, 3503729186, 3503729174, 3508124148, 3511924308, 3511924301, 3511924269, 3511924256, 3511924193, 3511924183, 3511924095, 3511924071, 3511924056]",63,2014-10,2014-10-10,11,parent
usb000g7we,1366107413000,4.2,mwr,5.8,"3 km WSW of Wellston, Oklahoma",reviewed,35.681,-97.098,7.0,2013-04-16 10:16:53.000,"35.681,-97.098","[3508102053, 3508101877, 3508123965, 3508123947, 3508123923, 3508123909, 3508123907, 3508124016, 3508123857, 3508123845, 3508123837, 3508123832, 3508123879, 3508123785, 3508124052, 3508123734, 3508123361, 3508123344, 3508123291, 3508123432, 3508123142, 3508123103, 3508123019, 3508123433, 3508123459, 3508123495, 3508123707, 3508123680, 3508123640, 3508123631, 3508323652, 3508323634, 3508323592, 3508323524, 3508323458, 3508323545, 3510920163, 3510921577, 3510922171, 3510922351, 3508124112, 3508124145]",42,2013-04,2013-04-16,7,shock
us10008s4j,1494664357300,4.2,mwr,4.2,"17 km SE of Waynoka, Oklahoma",reviewed,36.4782,-98.7365,5.367000000000001,2017-05-13 08:32:37.300,"36.4782,-98.7365","[3509323212, 3515121599, 3515123752]",3,2017-05,2017-05-13,0,shock
ok2021cnhw,1612547325719,4.2,mwr,6.4,"5 km WNW of Lucien, Oklahoma",reviewed,36.289,-97.51583333,6.67,2021-02-05 17:48:45.719,"36.289,-97.51583333","[3504724485, 3504724404, 3504724338, 3504724219, 3508322776, 3510322731, 3504724507, 3504724590, 3508324008, 3508324009, 3510324315, 3504724611, 3504724620, 3504724621, 3504724622, 3504724652, 3504724668, 3504724582, 3504724579, 3508324166, 3510324542, 3504724848, 3504724818, 3504724761, 3504724729, 3508324300, 3510324615]",27,2021-02,2021-02-05,0,shock
usc000tj7a,1422300644700,4.2,ml,6.6,"5 km NNE of Medford, Oklahoma",reviewed,36.8479,-97.7016,6.863,2015-01-26 19:30:44.700,"36.8479,-97.7016","[3505322795, 3505322786, 3505322783, 3505322764, 3505322763, 3505322722, 3505322454, 3505322687, 3505322799, 3505322844, 3505322820, 3505322209, 3505322926, 3505322933, 3505322949, 3505322959, 3505322992, 3505322996, 3505323050, 3505323061, 3505323062, 3505323068, 3505323082, 3505323084, 3505323085, 3505323095, 3505323115, 3505323155, 3505323253, 3505323252, 3505323245, 3505323209, 3505323364, 3505323220, 3505323417]",35,2015-01,2015-01-26,11,parent
ok2021dmpg,1613743017950,4.2,mwr,6.8,"6 km SW of Manchester, Oklahoma",reviewed,36.96366667,-98.09383333,7.0,2021-02-19 13:56:57.950,"36.96366667,-98.09383333","[3505322796, 3505322816, 3505322815, 3505322835, 3505322824, 3500322132, 3500322131, 3500322117, 3500322108, 3500322133, 3500322028, 3500322026, 3500322023, 3500322020, 3500322012, 3500322002, 3500321995, 3500321994, 3500321983, 3500321976, 3500321916, 3505322940, 3505322923, 3505323049, 3500322183, 3500322177, 3500322165, 3500322158, 3500322193, 3500322212, 3500322228, 3500322229, 3500322418, 3500322386, 3500322355, 3500322318, 3500322286, 3500322157, 3500322504, 3500322409, 3500322524, 3500322560]",42,2021-02,2021-02-19,1,parent
us20006fas,1468729078900,4.2,mwr,4.9,"5 km W of Lucien, Oklahoma",reviewed,36.2841,-97.5138,4.787,2016-07-17 04:17:58.900,"36.2841,-97.5138","[3504724485, 3504724404, 3504724338, 3504724219, 3508322776, 3510322731, 3504724507, 3504724590, 3508324008, 3508324009, 3510324315, 3504724611, 3504724620, 3504724621, 3504724622, 3504724652, 3504724668, 3504724582, 3504724579, 3508324166, 3510324542, 3504724848, 3504724818, 3504724761, 3504724729, 3508324300, 3510324615]",27,2016-07,2016-07-17,2,shock
us200027lp,1429421234800,4.2,mwr,5.7,"6 km W of Langston, Oklahoma",reviewed,35.953,-97.3318,3.16,2015-04-19 05:27:14.800,"35.953,-97.3318","[3508121324, 3508323589, 3508323704, 3508323586, 3508323492, 3508323468, 3508323458, 3508323451, 3508323772, 3508323957, 3508323426, 3511920381, 3511923858, 3511923781, 3511923717, 3511923700, 3511923684, 3511923642, 3511923904, 3508323993, 3508323968, 3508324030, 3508324032, 3508324095, 3508324069, 3511923968, 3511923986, 3511924011, 3511924012, 3508324290, 3508324270, 3508324172, 3508324160, 3511924319, 3511924220]",35,2015-04,2015-04-19,0,parent
us20009wba,1500040055300,4.2,mwr,5.0,"10 km WSW of Shamrock, Oklahoma",reviewed,35.8591,-96.6833,6.813,2017-07-14 13:47:35.300,"35.8591,-96.6833","[3503730210, 3503721143, 3508122309, 3508123894, 3508123786, 3508124029, 3508123345, 3508123595, 3503701808, 3511923926, 3508101441, 3503720634, 3503729123, 3508124132, 3508124127, 3503729201, 3503729174, 3508124148]",18,2017-07,2017-07-14,13,parent
us2000dca2,1520221259200,4.2,mwr,5.7,"5 km NNW of Breckinridge, Oklahoma",reviewed,36.4833,-97.7491,8.229,2018-03-05 03:40:59.200,"36.4833,-97.7491","[3504724528, 3504724516, 3504724444, 3504724338, 3504724219, 3505322771, 3504724507, 3504724534, 3504724547, 3505323011, 3505323030, 3505322904, 3504724625, 3504724652, 3504724582, 3505323241, 3504724905, 3504724903, 3504724873, 3504724849, 3504724814, 3504724774, 3505323327, 3505323322, 3504724926, 3504724879]",26,2018-03,2018-03-05,6,parent
us10004aqg,1451648379800,4.2,mwr,5.4,"6 km ENE of Edmond, Oklahoma",reviewed,35.6688,-97.4065,5.825,2016-01-01 11:39:39.800,"35.6688,-97.4065","[3510900109, 3510920163, 3510921577, 3510921994, 3510920193, 3510935998, 3510922351, 3510922387, 3508324032, 3508324112, 3510922126]",11,2016-01,2016-01-01,2,shock
usc000nwmq,1396162316300,4.2,mwr,5.6,"2 km S of Marshall, Oklahoma",reviewed,36.1309,-97.6291,4.831,2014-03-30 06:51:56.300,"36.1309,-97.6291","[3504724485, 3510322731, 3504724549, 3504724553, 3504724590, 3508323978, 3508323988, 3508323996, 3508324008, 3508324009, 3508323968, 3507324764, 3504724621, 3504724668, 3504724579, 3508323999, 3508324030, 3508324049, 3508324062, 3508324166, 3508324122, 3508324095, 3504724833, 3504724818, 3504724761, 3507324980, 3507324957, 3507324938, 3508324300, 3508324185, 3507324947]",31,2014-03,2014-03-30,12,parent
us20005d3n,1459227181200,4.2,mwr,5.3,"4 km NNE of Crescent, Oklahoma",reviewed,35.99,-97.5773,5.183,2016-03-29 04:53:01.200,"35.99,-97.5773","[3504724485, 3508323910, 3508323943, 3508323957, 3508323978, 3508323988, 3508323996, 3508324008, 3508324009, 3508324011, 3508323421, 3507324764, 3507324811, 3508324026, 3508323999, 3508323995, 3508324030, 3508324049, 3508324062, 3508324166, 3508324122, 3508324095, 3508324069, 3507324980, 3507324957, 3507324938, 3508324300, 3508324290, 3508324270, 3508324185, 3508324172, 3508324160, 3507324984]",33,2016-03,2016-03-29,0,shock
ok2020mcmz,1592709341689,4.2,mwr,5.5,"9 km NW of Perry, Oklahoma",reviewed,36.35883333,-97.35883333,7.78,2020-06-21 03:15:41.689,"36.35883333,-97.35883333","[3504724404, 3504724338, 3510321123, 3510322096, 3510323976, 3510323835, 3510323658, 3510324300, 3510324269, 3510322712, 3510300893, 3510300897, 3510324314, 3510324361, 3510324375, 3510324378, 3510324429, 3510324448, 3504724611, 3504724620, 3504724622, 3504724668, 3504724582, 3510324488, 3510324542, 3510324539, 3504724848, 3504724818, 3504724729, 3510324630, 3510324615, 3510324594, 3510324610]",33,2020-06,2020-06-21,6,parent
usc000tmeb,1423148920800,4.2,mwr,4.8,"8 km NE of Cherokee, Oklahoma",reviewed,36.8147,-98.2915,4.381,2015-02-05 15:08:40.800,"36.8147,-98.2915","[3505322824, 3500322152, 3500322144, 3500322132, 3500322131, 3500322117, 3500322108, 3500322046, 3500322028, 3500322026, 3500321748, 3500322024, 3500322023, 3500322020, 3500322019, 3500322012, 3500322006, 3500322002, 3500321995, 3500321983, 3500321916, 3500321897, 3505323049, 3500322186, 3500322183, 3500322177, 3500322165, 3500322163, 3500322158, 3500322193, 3500322212, 3500322228, 3500322229, 3500322418, 3500322390, 3500322386, 3500322355, 3500322349, 3500322345, 3500322318, 3500322317, 3500322316, 3500322308, 3500322286, 3500322247, 3500322157, 3500322246, 3500322523, 3500322521, 3500322504, 3500322489, 3500322426, 3500322409, 3500322370, 3500322524, 3500322540, 3500322551, 3500322737, 3500322651, 3500322623, 3500322600, 3500322560, 3500323099, 3500323033, 3500322973, 3500322908, 3500322903, 3500322806, 3500322761, 3500322710]",70,2015-02,2015-02-05,12,parent
usc000p92s,1396886583900,4.2,mwr,4.8,"6 km NNW of Meridian, Oklahoma",reviewed,35.8913,-97.2752,5.131,2014-04-07 16:03:03.900,"35.8913,-97.2752","[3508121324, 3508123785, 3508123433, 3508123680, 3508123631, 3508323652, 3508323634, 3508323589, 3508323704, 3508323586, 3508323524, 3508323492, 3508323468, 3508323458, 3508323451, 3508323545, 3508323772, 3508323426, 3510920163, 3511920381, 3511923858, 3511923781, 3511923717, 3511923700, 3511923684, 3511923642, 3511923912, 3511923904, 3508323993, 3508324032, 3511923986, 3511924012, 3508124145, 3508324290, 3508324172, 3511924220]",36,2014-04,2014-04-07,46,parent
